Station_name,Bikes,Arts & Entertainment,"Bars, Restaurants & Cafes","Landmarks, Parks & Sports",Municipal,Retail,Schools,Total POIs
30th & Ontario,22,5.0,27.0,37.0,2.0,21.0,1.0,93.0
3rd & Quebec,20,11.0,27.0,8.0,0.0,23.0,0.0,69.0
4th & Commercial,14,4.0,44.0,1.0,1.0,20.0,1.0,71.0
5th & Arbutus,16,2.0,34.0,8.0,0.0,39.0,0.0,83.0
5th & Main,20,36.0,48.0,31.0,2.0,52.0,3.0,172.0
6th & Carolina,16,1.0,8.0,4.0,0.0,6.0,1.0,20.0
6th & Prince Edward,16,12.0,20.0,28.0,3.0,24.0,4.0,91.0
7th &  Alder,16,4.0,17.0,8.0,1.0,18.0,0.0,48.0
7th & Arbutus,16,4.0,43.0,31.0,0.0,73.0,0.0,151.0
7th & Granville,14,20.0,39.0,26.0,3.0,35.0,0.0,123.0
7th & Heather,18,12.0,82.0,72.0,7.0,56.0,2.0,231.0
7th & Laurel,14,6.0,52.0,25.0,6.0,36.0,3.0,128.0
7th & Woodland,12,7.0,20.0,14.0,1.0,10.0,2.0,54.0
8th & Ash,16,13.0,95.0,70.0,9.0,78.0,3.0,268.0
8th & Commercial,38,12.0,38.0,13.0,2.0,37.0,2.0,104.0
8th & Fraser,16,4.0,18.0,4.0,0.0,8.0,0.0,34.0
8th & Macdonald,22,2.0,39.0,7.0,1.0,29.0,0.0,78.0
8th & Ontario,16,24.0,54.0,33.0,1.0,86.0,4.0,202.0
8th & Prince Edward,18,9.0,30.0,23.0,2.0,38.0,1.0,103.0
8th & Scotia,12,26.0,79.0,47.0,4.0,72.0,3.0,231.0
8th & Yukon,22,12.0,57.0,27.0,0.0,40.0,0.0,136.0
Abbott & Cordova,22,50.0,101.0,47.0,2.0,93.0,2.0,295.0
Adanac & McLean,22,5.0,16.0,6.0,0.0,16.0,1.0,44.0
Alberni & Jervis,20,10.0,107.0,28.0,2.0,86.0,2.0,235.0
Alder & 11th,14,3.0,12.0,3.0,1.0,11.0,0.0,30.0
Alexander & Dunlevy,14,18.0,33.0,11.0,0.0,26.0,0.0,88.0
Alexander & Main,20,16.0,30.0,5.0,0.0,13.0,0.0,64.0
Alexander & Railway,20,8.0,12.0,9.0,0.0,21.0,0.0,50.0
Alma & Point Grey,24,4.0,1.0,7.0,0.0,0.0,0.0,12.0
Anderson & 2nd,28,27.0,24.0,13.0,0.0,20.0,0.0,84.0
Aquatic Centre,35,2.0,2.0,15.0,0.0,1.0,0.0,20.0
Arbutus & 10th,18,4.0,17.0,23.0,1.0,16.0,0.0,61.0
Arbutus & 16th,40,0.0,1.0,3.0,0.0,1.0,0.0,5.0
Arbutus & McNicoll,30,0.0,1.0,6.0,0.0,0.0,0.0,7.0
Arbutus & Nanton,18,0.0,3.0,8.0,1.0,6.0,0.0,18.0
Arbutus Greenway & 14th,20,0.0,2.0,4.0,0.0,2.0,0.0,8.0
Arbutus Greenway & Fir,16,37.0,40.0,42.0,2.0,42.0,1.0,164.0
Balaclava & 6th,16,3.0,10.0,5.0,0.0,7.0,0.0,25.0
Balaclava & Broadway,18,5.0,76.0,16.0,0.0,46.0,1.0,144.0
Balsam & Cornwall,20,2.0,0.0,6.0,0.0,3.0,0.0,11.0
Beach & Broughton,22,0.0,1.0,11.0,0.0,1.0,0.0,13.0
Beach & Cardero,22,1.0,2.0,5.0,0.0,0.0,0.0,8.0
Beach & Hornby,18,3.0,65.0,36.0,1.0,17.0,1.0,123.0
Beach & Seymour,18,6.0,19.0,28.0,0.0,21.0,0.0,74.0
Beatty & Nelson,14,20.0,93.0,51.0,0.0,62.0,7.0,233.0
Beatty & Robson,20,25.0,62.0,34.0,2.0,18.0,0.0,141.0
Bidwell & Burnaby,26,8.0,44.0,8.0,1.0,14.0,0.0,75.0
Blenheim & 4th,23,1.0,3.0,4.0,0.0,3.0,0.0,11.0
Britannia Parking Lot,14,8.0,36.0,14.0,1.0,16.0,1.0,76.0
Broughton & Davie,22,7.0,50.0,14.0,1.0,28.0,0.0,100.0
Burrard & 14th,18,1.0,0.0,1.0,1.0,0.0,0.0,3.0
Burrard & 4th,16,8.0,46.0,18.0,0.0,18.0,0.0,90.0
Burrard & 7th,16,9.0,56.0,32.0,1.0,58.0,6.0,162.0
Burrard & Drake,24,10.0,40.0,16.0,9.0,31.0,0.0,106.0
Burrard Station (Melville & Dunsmuir),28,18.0,112.0,67.0,2.0,121.0,13.0,333.0
Bute & Barclay,14,4.0,97.0,17.0,1.0,75.0,2.0,196.0
Bute & Comox,22,8.0,69.0,17.0,5.0,32.0,1.0,132.0
Bute & Davie,20,11.0,88.0,14.0,6.0,47.0,1.0,167.0
Bute & Robson,26,5.0,67.0,15.0,2.0,51.0,0.0,140.0
Cambie & Water,32,50.0,90.0,38.0,0.0,86.0,3.0,267.0
